"Type","Month","Count"
"Jira-Bug","Feb 1, 2013 12:00:00 AM","2"
"Jira-Bug","May 1, 2013 12:00:00 AM","1"
"Jira-Bug","Jun 1, 2013 12:00:00 AM","2"
"Jira-Bug","Nov 1, 2013 12:00:00 AM","3"
"Jira-Bug","Apr 1, 2014 12:00:00 AM","1"
"Jira-Epic","Aug 1, 2011 12:00:00 AM","1"
"Jira-Epic","Nov 1, 2012 12:00:00 AM","1"
"Jira-Improvement","Jan 1, 2012 12:00:00 AM","3"
"Jira-Improvement","Jul 1, 2013 12:00:00 AM","1"
"Jira-New Feature","Oct 1, 2010 12:00:00 AM","1"
"Jira-New Feature","Aug 1, 2011 12:00:00 AM","1"
"Jira-New Feature","Sep 1, 2011 12:00:00 AM","1"
"Jira-New Feature","Jan 1, 2012 12:00:00 AM","3"
"Jira-New Feature","May 1, 2012 12:00:00 AM","1"
"Jira-New Feature","Jun 1, 2012 12:00:00 AM","1"
"Jira-New Feature","Jul 1, 2012 12:00:00 AM","1"
"Jira-New Feature","Feb 1, 2013 12:00:00 AM","1"
"Jira-New Feature","Jun 1, 2013 12:00:00 AM","1"
"Jira-New Feature","Jul 1, 2013 12:00:00 AM","1"
